Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)
Grand Total	4.44941E+12	9.80015E+12	6.5829E+12	9.77579E+12
CGI_10018876	2.12271E+11	4.33454E+11	3.04729E+11	4.40127E+11
CGI_10022729	2.12395E+11	4.23051E+11	3.02203E+11	4.31278E+11	K1QWP8	K1QWP8_CRAGI	unreviewed	Actin-2	CGI_10022729	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376
CGI_10003492	2.12073E+11	4.15154E+11	2.9957E+11	4.25238E+11	K1QG58	K1QG58_CRAGI	unreviewed	Actin	CGI_10003492	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10003491	2.12058E+11	4.00746E+11	2.95888E+11	4.12455E+11	K1Q821	K1Q821_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10003491	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10024579	2.12058E+11	4.00746E+11	2.95888E+11	4.12455E+11	K1RWD4	K1RWD4_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10024579	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376
CGI_10022730	2.13628E+11	3.96361E+11	2.95412E+11	4.10356E+11
CGI_10024572	2.11736E+11	3.92849E+11	2.93255E+11	4.06415E+11	K1R6J7	K1R6J7_CRAGI	unreviewed	Actin	CGI_10024572	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10003490	2.11077E+11	3.92538E+11	2.91902E+11	4.0561E+11	K1Q0U8	K1Q0U8_CRAGI	unreviewed	Actin	CGI_10003490	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10017112	1.19394E+11	2.53682E+11	1.79378E+11	2.49626E+11	K1RBG6	K1RBG6_CRAGI	unreviewed	Actin-1/3	CGI_10017112	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	530	GO:0005524
CGI_10021674	94873807401	1.92716E+11	1.36346E+11	2.06453E+11	K1QPJ1	K1QPJ1_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10021674	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	375	GO:0005524
CGI_10028599	69252503610	1.34352E+11	98358630180	1.48798E+11	K1R557	K1R557_CRAGI	unreviewed	Actin-1	CGI_10028599	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	380	GO:0005524
CGI_10028600	69252503610	1.34352E+11	98358630180	1.48798E+11	K1RB50	K1RB50_CRAGI	unreviewed	Actin-1	CGI_10028600	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	380	GO:0005524
