Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)								
Grand Total	4.45E+12	9.80E+12	6.58E+12	9.78E+12								
CGI_10018876	2.12E+11	4.33E+11	3.05E+11	4.40E+11								
CGI_10022729	2.12E+11	4.23E+11	3.02E+11	4.31E+11	K1QWP8	K1QWP8_CRAGI	unreviewed	Actin-2	CGI_10022729	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	
CGI_10003492	2.12E+11	4.15E+11	3.00E+11	4.25E+11	K1QG58	K1QG58_CRAGI	unreviewed	Actin	CGI_10003492	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10003491	2.12E+11	4.01E+11	2.96E+11	4.12E+11	K1Q821	K1Q821_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10003491	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10024579	2.12E+11	4.01E+11	2.96E+11	4.12E+11	K1RWD4	K1RWD4_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10024579	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	
CGI_10022730	2.14E+11	3.96E+11	2.95E+11	4.10E+11								
CGI_10024572	2.12E+11	3.93E+11	2.93E+11	4.06E+11	K1R6J7	K1R6J7_CRAGI	unreviewed	Actin	CGI_10024572	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10003490	2.11E+11	3.93E+11	2.92E+11	4.06E+11	K1Q0U8	K1Q0U8_CRAGI	unreviewed	Actin	CGI_10003490	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	GO:0005524
CGI_10017112	1.19E+11	2.54E+11	1.79E+11	2.50E+11	K1RBG6	K1RBG6_CRAGI	unreviewed	Actin-1/3	CGI_10017112	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	530	GO:0005524
CGI_10021674	94873807401	1.93E+11	1.36E+11	2.06E+11	K1QPJ1	K1QPJ1_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10021674	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	375	GO:0005524
CGI_10028599	69252503610	1.34E+11	98358630180	1.49E+11	K1R557	K1R557_CRAGI	unreviewed	Actin-1	CGI_10028599	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	380	GO:0005524
CGI_10028600	69252503610	1.34E+11	98358630180	1.49E+11	K1RB50	K1RB50_CRAGI	unreviewed	Actin-1	CGI_10028600	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	380	GO:0005524
CGI_10028601	69252503610	1.34E+11	98358630180	1.49E+11	K1RHB1	K1RHB1_CRAGI	unreviewed	Actin-1	CGI_10028601	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	380	GO:0005524
CGI_10028603	69252503610	1.34E+11	98358630180	1.49E+11	K1QVI5	K1QVI5_CRAGI	unreviewed	Actin-1	CGI_10028603	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	377	GO:0005524
CGI_10028604	69252503610	1.34E+11	98358630180	1.49E+11	K1R562	K1R562_CRAGI	unreviewed	Actin-1	CGI_10028604	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	285	
CGI_10022732	74993593797	1.27E+11	99525347713	1.26E+11	K1RU04	K1RU04_CRAGI	unreviewed	"Actin, cytoplasmic"	CGI_10022732	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	376	
CGI_10022731	68662195340	1.30E+11	91542612354	1.36E+11	K1RA57	K1RA57_CRAGI	unreviewed	Actin	CGI_10022731	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	377	GO:0005524
CGI_10022093	59782570100	1.35E+11	93906068601	1.36E+11	K1RSS3	K1RSS3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10022093	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2002	GO:0003774
CGI_10022093	59782570100	1.35E+11	93906068601	1.36E+11	K1RSS3	K1RSS3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10022093	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2002	GO:0005524
CGI_10022093	59782570100	1.35E+11	93906068601	1.36E+11	K1RSS3	K1RSS3_CRAGI	unreviewed	"Myosin heavy chain, striated muscle"	CGI_10022093	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	2002	GO:0016459
CGI_10022733	71791839659	1.14E+11	91577396854	1.20E+11	K1QMP4	K1QMP4_CRAGI	unreviewed	Actin	CGI_10022733	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	354	
CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0003924
CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005200
CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005525
CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005737
CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0005874
CGI_10012330	21213869688	1.10E+11	46899929437	99810529478	K1R7V7	K1R7V7_CRAGI	unreviewed	Tubulin beta chain	CGI_10012330	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	446	GO:0007017
CGI_10019752	21213869688	1.10E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0003924
CGI_10019752	21213869688	1.10E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0005200
CGI_10019752	21213869688	1.10E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0005525
CGI_10019752	21213869688	1.10E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0005874
CGI_10019752	21213869688	1.10E+11	46899929437	99810529478	K1QAJ5	K1QAJ5_CRAGI	unreviewed	Tubulin beta chain	CGI_10019752	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	429	GO:0007017
CGI_10001653	38401711518	76814294679	48614541460	76698767734	K1QTC1	K1QTC1_CRAGI	unreviewed	Paramyosin	CGI_10001653	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	851	GO:0003774
CGI_10001653	38401711518	76814294679	48614541460	76698767734	K1QTC1	K1QTC1_CRAGI	unreviewed	Paramyosin	CGI_10001653	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	851	GO:0016459
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0003924
CGI_10010163	17929389371	93094280515	40724190228	83891073124	K1PN21	K1PN21_CRAGI	unreviewed	Tubulin beta chain	CGI_10010163	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	445	GO:0005200
