0	Row Labels	Day 5- 23C (Silo 9)/sum*100	Day 5- 29C (Silo 8)/sum*100	Day 8- 23C (Silo 9)/sum*100	Day 8- 29C (Silo 8)/sum*100	term	GOSlim_bin	aspect	clean
GO:0000015	CGI_10022154	9	35	19	37	phosphopyruvate hydratase complex	cytosol	C	1
GO:0000028	CGI_10021852	15	33	21	31	ribosomal small subunit assembly	cell organization and biogenesis	P	1
GO:0000049	CGI_10003310	9	27	20	44	tRNA binding	nucleic acid binding activity	F	1
GO:0000049	CGI_10005385	15	22	22	41	tRNA binding	nucleic acid binding activity	F	1
GO:0000049	CGI_10018862	5	35	22	39	tRNA binding	nucleic acid binding activity	F	1
GO:0000049	CGI_10028856	17	32	21	29	tRNA binding	nucleic acid binding activity	F	1
GO:0000062	CGI_10011875	7	39	21	33	acyl-CoA binding	other molecular function	F	1
GO:0000062	CGI_10013441	16	41	15	28	acyl-CoA binding	other molecular function	F	1
GO:0000103	CGI_10022824	11	35	20	34	sulfate assimilation	other metabolic processes	P	1
GO:0000104	CGI_10016543	13	29	20	38	succinate dehydrogenase activity	other molecular function	F	1
GO:0000139	CGI_10008895	14	34	18	34	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10008895	14	34	18	34	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10011801	19	34	14	34	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10011801	19	34	14	34	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10013254	10	34	23	33	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10013254	10	34	23	33	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10021193	11	32	14	42	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10021193	11	32	14	42	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10022239	17	29	25	29	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10022239	17	29	25	29	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10023024	10	34	22	34	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10023024	10	34	22	34	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10026144	7	87	4	2	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10026144	7	87	4	2	Golgi membrane	other membranes	C	1
GO:0000139	CGI_10027347	16	30	22	32	Golgi membrane	ER/Golgi	C	1
GO:0000139	CGI_10027347	16	30	22	32	Golgi membrane	other membranes	C	1
GO:0000159	CGI_10001348	19	26	11	44	protein phosphatase type 2A complex	other cellular component	C	1
GO:0000159	CGI_10018645	0	29	26	44	protein phosphatase type 2A complex	other cellular component	C	1
GO:0000159	CGI_10020816	10	32	15	43	protein phosphatase type 2A complex	other cellular component	C	1
GO:0000159	CGI_10024361	7	33	27	32	protein phosphatase type 2A complex	other cellular component	C	1
GO:0000166	CGI_10000462	8	36	22	34	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10001493	13	36	26	25	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10002261	3	44	19	34	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10002568	28	30	23	19	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10003051	18	30	23	29	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10004091	15	25	15	45	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10004176	0	65	5	30	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10004474	32	31	19	18	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10005086	15	29	27	29	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10007212	10	32	24	35	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10008836	11	31	27	31	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10008943	23	30	20	28	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10009395	15	32	25	28	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10009846	12	32	29	27	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10011431	28	28	20	24	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10011751	5	32	17	46	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10012127	13	31	28	29	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10014598	16	28	32	25	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10014726	17	36	20	27	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10014767	20	29	27	24	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10015124	13	31	27	28	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10016214	13	40	23	24	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10017401	31	32	18	18	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10018347	20	33	22	24	nucleotide binding	other molecular function	F	1
GO:0000166	CGI_10018990	14	38	28	19	nucleotide binding	other molecular function	F	1
