Go term	Row Labels	Day 5- 23C (Silo 9)	Day 5- 29C (Silo 8)	Day 8- 23C (Silo 9)	Day 8- 29C (Silo 8)	term	GOSlim_bin	aspect	clean												
GO:0007017	CGI_10000075	851131472	2960501195	1385155950	3027714140	microtubule-based process	other biological processes	P	1												
GO:0030286	CGI_10000075	851131472	2960501195	1385155950	3027714140	dynein complex	cytoskeleton	C	1												
GO:0004332	CGI_10000078	678272733	2165403075	1050269388	1934650023	fructose-bisphosphate aldolase activity	other molecular function	F	1												
GO:0006096	CGI_10000078	678272733	2165403075	1050269388	1934650023	glycolysis	other metabolic processes	P	1												
GO:0003735	CGI_10000194	3721806180	7585630403	6189568827	7060130894	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10000194	3721806180	7585630403	6189568827	7060130894	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10000194	3721806180	7585630403	6189568827	7060130894	translation	protein metabolism	P	1												
GO:0003735	CGI_10000595	1846071734	5578956633	4509999775	5571340672	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10000595	1846071734	5578956633	4509999775	5571340672	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10000595	1846071734	5578956633	4509999775	5571340672	translation	protein metabolism	P	1												
GO:0005509	CGI_10001245	4659411691	7438693886	4900180845	7439255519	calcium ion binding	other molecular function	F	1												
GO:0005576	CGI_10001245	4659411691	7438693886	4900180845	7439255519	extracellular region	non-structural extracellular	C	1												
GO:0007160	CGI_10001245	4659411691	7438693886	4900180845	7439255519	cell-matrix adhesion	cell adhesion	P	1												
GO:0000166	CGI_10001493	980504068	2715042057	1933502630	1878016983	nucleotide binding	other molecular function	F	1												
GO:0003735	CGI_10001493	980504068	2715042057	1933502630	1878016983	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10001493	980504068	2715042057	1933502630	1878016983	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10001493	980504068	2715042057	1933502630	1878016983	translation	protein metabolism	P	1												
GO:0003743	CGI_10001554	826335954	2561394358	2022813538	1787853465	translation initiation factor activity	nucleic acid binding activity	F	1												
GO:0004386	CGI_10001554	826335954	2561394358	2022813538	1787853465	helicase activity	other molecular function	F	1												
GO:0005524	CGI_10001554	826335954	2561394358	2022813538	1787853465	ATP binding	other molecular function	F	1												
GO:0006950	CGI_10001640	381130326	2973439886	1466249964	2832364800	response to stress	stress response	P	1												
GO:0003774	CGI_10001653	38401711518	76814294679	48614541460	76698767734	motor activity	cytoskeletal activity	F	1												
GO:0016459	CGI_10001653	38401711518	76814294679	48614541460	76698767734	myosin complex	cytoskeleton	C	1												
GO:0003735	CGI_10001663	1010548788	3116460688	2525924336	2832786481	structural constituent of ribosome	other molecular function	F	1												
GO:0005840	CGI_10001663	1010548788	3116460688	2525924336	2832786481	ribosome	translational apparatus	C	1												
GO:0006412	CGI_10001663	1010548788	3116460688	2525924336	2832786481	translation	protein metabolism	P	1												
GO:0004930	CGI_10001665	1569628439	4989761380	604983622	2625674986	G-protein coupled receptor activity	signal transduction activity	F	1												
GO:0016021	CGI_10001665	1569628439	4989761380	604983622	2625674986	integral to membrane	other membranes	C	1												
GO:0004013	CGI_10001705	666859510	2103047489	1691242133	1864657941	adenosylhomocysteinase activity	other molecular function	F	1												
GO:0006730	CGI_10001705	666859510	2103047489	1691242133	1864657941	one-carbon compound metabolic process	other metabolic processes	P	1												
GO:0005509	CGI_10001798	8446085140	25117711332	11839000412	22265409546	calcium ion binding	other molecular function	F	1												
GO:0005783	CGI_10001798	8446085140	25117711332	11839000412	22265409546	endoplasmic reticulum	ER/Golgi	C	1												
GO:0006457	CGI_10001798	8446085140	25117711332	11839000412	22265409546	protein folding	protein metabolism	P	1												
GO:0008152	CGI_10002160	490828588	2255457080	1071827570	1767362875	metabolic process	other metabolic processes	P	1												
