GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0003779	actin binding	molecular_function	4.43E-07	2.25E-08	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_LOC100114310.2.2|m.64227,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100877689.2.2|m.26187,CHOYP_GELS2.2.2|m.30443,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_PHUM_PHUM289860.1.1|m.44779"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100166368.1.1|m.44709,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100114310.2.2|m.64227,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100877689.2.2|m.26187,CHOYP_GELS2.2.2|m.30443,CHOYP_FLNA.2.6|m.11845,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_LOC100377364.2.2|m.52803"
GO:0008092	cytoskeletal protein binding	molecular_function	2.21E-05	6.01E-05	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_LOC100114310.2.2|m.64227,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100877689.2.2|m.26187,CHOYP_ANK3.3.9|m.6798,CHOYP_GELS2.2.2|m.30443,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_PHUM_PHUM289860.1.1|m.44779"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100166368.1.1|m.44709,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100114310.2.2|m.64227,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100877689.2.2|m.26187,CHOYP_GELS2.2.2|m.30443,CHOYP_FLNA.2.6|m.11845,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_LOC100377364.2.2|m.52803"
GO:0005516	calmodulin binding	molecular_function	1.11E-04	2.72E-03	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100649130.1.1|m.58207,CHOYP_SPTCA.2.2|m.25615,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_PHUM_PHUM289860.1.1|m.44779"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100649130.1.1|m.58207,CHOYP_SPTCA.2.2|m.25615,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_PHUM_PHUM289860.1.1|m.44779"
GO:0003774	motor activity	molecular_function	5.46E-03	5.21E-01	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_DYHC1.1.1|m.2432,CHOYP_DYHC.1.3|m.10664,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_DYHC1.1.1|m.2432,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341"
GO:0017111	nucleoside-triphosphatase activity	molecular_function	6.97E-03	4.51E-01	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_ATPA.1.1|m.50245,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_TBA2.1.1|m.955,CHOYP_MYSP.8.9|m.44813,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"
GO:0035639	purine ribonucleoside triphosphate binding	molecular_function	7.79E-03	4.10E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0032550	purine ribonucleoside binding	molecular_function	8.49E-03	4.51E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0001883	purine nucleoside binding	molecular_function	8.63E-03	4.59E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0032549	ribonucleoside binding	molecular_function	8.78E-03	4.68E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
GO:0001882	nucleoside binding	molecular_function	9.72E-03	5.22E-02	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_DYHC1.1.1|m.2432,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_ATPA.1.1|m.50245,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_ACT.6.27|m.15622,CHOYP_EF2.4.5|m.30186,CHOYP_KARG.2.11|m.2196,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_HSP7D.2.3|m.34782,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_ATPA.1.1|m.50245,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_GRP78.2.5|m.33058,CHOYP_GBLP.3.7|m.20931,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_KARG.2.11|m.2196,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_HS74L.1.1|m.24610,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44341,CHOYP_GRP75.1.1|m.11678,CHOYP_EF2.4.5|m.30186,CHOYP_ATPB.1.1|m.21960,CHOYP_EF1A.2.4|m.50858,CHOYP_PCKG.1.2|m.43785"
