Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_LOC101169658.2.3|m.20752	325	86	211	0.682	0.682	5.1175	5.1175	0	0	0.585685																												
CHOYP_contig_044503|m.51534	638	15	58	1.118	1.118	4.0533	4.0533	0	0	0.585759																												
CHOYP_RN45S.2.5|m.14111	206	22	68	0.91	0.91	3.7244	3.7244	0	0	0.585894	CHOYP_RN45S.2.5|m.14111	Q04832	HEXP_LEIMA	41.1	146	65	4	76	203	71	213	2.00E-26	107	1	Q04832	HEXP_LEIMA	reviewed	DNA-binding protein HEXBP (Hexamer-binding protein)	HEXBP	Leishmania major	271		GO:0003677; GO:0005634; GO:0008270				PF00098;	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
CHOYP_ODC1.1.1|m.12032	176	23	70	0.879	0.879	3.6925	3.6925	0	0	0.585916	CHOYP_ODC1.1.1|m.12032	Q04832	HEXP_LEIMA	39.3	201	88	5	4	173	16	213	8.00E-31	118	1	Q04832	HEXP_LEIMA	reviewed	DNA-binding protein HEXBP (Hexamer-binding protein)	HEXBP	Leishmania major	271		GO:0003677; GO:0005634; GO:0008270				PF00098;	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]
CHOYP_LOC100699383.1.1|m.63490	175	62	138	0.573	0.573	3.6894	3.6894	0	0	0.585918	CHOYP_LOC100699383.1.1|m.63490	Q95VY2	TCTP_BRABE	51.15	174	80	3	1	174	1	169	5.00E-55	177	1	Q95VY2	TCTP_BRABE	reviewed	Translationally-controlled tumor protein homolog (TCTP)		Branchiostoma belcheri (Amphioxus)	169		GO:0005737				PF00838;	cytoplasm [GO:0005737]
CHOYP_PDIA4.1.1|m.54958	622	14	49	1.057	1.057	3.4979	3.4979	0	0	0.586069	CHOYP_PDIA4.1.1|m.54958	P13667	PDIA4_HUMAN	54.03	583	263	5	43	621	64	645	0	639	1	P13667	PDIA4_HUMAN	reviewed	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	PDIA4 ERP70 ERP72	Homo sapiens (Human)	645	cell redox homeostasis [GO:0045454]; chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]	GO:0003723; GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0009306; GO:0009986; GO:0034976; GO:0042470; GO:0045454; GO:0061077				PF00085;	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]; protein disulfide isomerase activity [GO:0003756]; RNA binding [GO:0003723]; cell redox homeostasis [GO:0045454]; chaperone-mediated protein folding [GO:0061077]; protein folding [GO:0006457]; protein secretion [GO:0009306]; response to endoplasmic reticulum stress [GO:0034976]
CHOYP_HMBS.1.1|m.31422	579	23	63	0.802	0.802	3.4722	3.4722	0	0	0.586091	CHOYP_HMBS.1.1|m.31422	Q2KIN5	HEM3_BOVIN	56.56	343	140	3	6	346	20	355	9.00E-127	383	1	Q2KIN5	HEM3_BOVIN	reviewed	Porphobilinogen deaminase (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS)	HMBS	Bos taurus (Bovine)	361	heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]	GO:0004418; GO:0005737; GO:0006782; GO:0006783; GO:0018160	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 2/4.			PF01379;PF03900;	cytoplasm [GO:0005737]; hydroxymethylbilane synthase activity [GO:0004418]; heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]
CHOYP_RL9.5.6|m.63453	206	27	70	0.772	0.772	3.4079	3.4079	0	0	0.586148	CHOYP_RL9.5.6|m.63453	P50882	RL9_DROME	71.51	186	52	1	18	202	1	186	1.00E-91	273	1	P50882	RL9_DROME	reviewed	60S ribosomal protein L9	RpL9 M(2)32D CG6141	Drosophila melanogaster (Fruit fly)	190	centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]	GO:0002181; GO:0003723; GO:0003735; GO:0005840; GO:0019843; GO:0022625; GO:0022626; GO:0051298				PF00347;	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; ribosome [GO:0005840]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; centrosome duplication [GO:0051298]; cytoplasmic translation [GO:0002181]
CHOYP_LOC100377755.1.1|m.1006	565	13	44	1.021	1.021	3.2195	3.2195	0	0	0.586354																												
CHOYP_ISCW_ISCW017350.1.1|m.11950	202	3	22	1.833	1.833	3.2136	3.2136	0	0	0.586362	CHOYP_ISCW_ISCW017350.1.1|m.11950	Q24537	HMG2_DROME	58.29	175	69	2	5	175	176	350	7.00E-66	213	1	Q24537	HMG2_DROME	reviewed	High mobility group protein DSP1 (Protein dorsal switch 1)	Dsp1 ssrp2 CG12223	Drosophila melanogaster (Fruit fly)	393	"chromatin remodeling [GO:0006338]; developmental process [GO:0032502]; DNA unwinding involved in DNA replication [GO:0006268]; leg disc development [GO:0035218]; negative regulation of antimicrobial humoral response [GO:0008348]; negative regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0017055]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of DNA binding [GO:0043388]; segment specification [GO:0007379]"	GO:0000122; GO:0003677; GO:0003697; GO:0005634; GO:0005700; GO:0006268; GO:0006338; GO:0007379; GO:0008134; GO:0008301; GO:0008348; GO:0017025; GO:0017055; GO:0032502; GO:0035218; GO:0043388; GO:0045892				PF00505;PF09011;	"nucleus [GO:0005634]; polytene chromosome [GO:0005700]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; single-stranded DNA binding [GO:0003697]; TBP-class protein binding [GO:0017025]; transcription factor binding [GO:0008134]; chromatin remodeling [GO:0006338]; developmental process [GO:0032502]; DNA unwinding involved in DNA replication [GO:0006268]; leg disc development [GO:0035218]; negative regulation of antimicrobial humoral response [GO:0008348]; negative regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0017055]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of DNA binding [GO:0043388]; segment specification [GO:0007379]"
CHOYP_RL23.1.11|m.2901	163	10	38	1.129	1.129	3.152	3.152	0	0	0.586452																												
CHOYP_HMCN1.28.44|m.47379	4052	10	38	1.17	1.17	3.1413	3.1413	0	0	0.586469	CHOYP_HMCN1.28.44|m.47379	D3YXG0	HMCN1_MOUSE	35.92	3730	2205	61	461	4051	1951	5634	0	2284	1	D3YXG0	HMCN1_MOUSE	reviewed	Hemicentin-1 (Fibulin-6) (FIBL-6)	Hmcn1	Mus musculus (Mouse)	5634	cell cycle [GO:0007049]; cell division [GO:0051301]	GO:0005509; GO:0005576; GO:0005604; GO:0005938; GO:0007049; GO:0030054; GO:0032154; GO:0051301; GO:0070062			cd00255;	PF12662;PF07645;PF07474;PF07679;PF00090;	basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; cell cycle [GO:0007049]; cell division [GO:0051301]
CHOYP_BRAFLDRAFT_118602.2.5|m.17419	4144	44	99	0.586	0.586	3.0939	3.0939	0	0	0.586548	CHOYP_BRAFLDRAFT_118602.2.5|m.17419	Q2PC93	SSPO_CHICK	34.22	1166	669	38	225	1349	192	1300	7.00E-177	621	1	Q2PC93	SSPO_CHICK	reviewed	SCO-spondin	SSPO	Gallus gallus (Chicken)	5255	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0005615; GO:0007155; GO:0007399; GO:0030154				PF00754;PF00057;PF01826;PF00090;PF00093;PF00094;	extracellular space [GO:0005615]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]
