Protein	Len	27	32	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value Zstatistic	fdr	FDRup	FDRdown																												
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	GO:0001658				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0001736				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0001822				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0003007				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0005509				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0005622				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0005886				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0007009				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0007156				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
CHOYP_MBCDH18.1.1|m.34344	9555	298	117	-1.156	1.156	-11.1531	11.1531	0	0.585685	0	CHOYP_MBCDH18.1.1|m.34344	Q2PZL6	FAT4_MOUSE	27.01	3717	2418	143	796	4407	81	3607	0	733	1	Q2PZL6	FAT4_MOUSE	reviewed	Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J)	Fat4 Fatj	Mus musculus (Mouse)	4981	branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]	 GO:0007157				PF00028;PF00008;PF07645;PF12661;PF02210;	apical part of cell [GO:0045177]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; intracellular [GO:0005622]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; branching involved in ureteric bud morphogenesis [GO:0001658]; cerebral cortex development [GO:0021987]; condensed mesenchymal cell proliferation [GO:0072137]; digestive tract development [GO:0048565]; establishment of planar polarity [GO:0001736]; fibroblast growth factor receptor signaling pathway [GO:0008543]; heart morphogenesis [GO:0003007]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; hippo signaling [GO:0035329]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; inner ear receptor stereocilium organization [GO:0060122]; kidney development [GO:0001822]; nephron development [GO:0072006]; neurogenesis [GO:0022008]; Notch signaling pathway [GO:0007219]; ossification involved in bone maturation [GO:0043931]; plasma membrane organization [GO:0007009]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]
