GO Accession	GO Name	GO Aspect	P-value (1)	P-value (2)	Protein List (1)	Protein List (2)
GO:0030016	myofibril	cellular_component	6.11E-07	3.30E-05	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_ANK3.3.9|m.6798,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_MLE.1.9|m.15462"
GO:0043292	contractile fiber	cellular_component	7.53E-07	4.03E-05	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_ANK3.3.9|m.6798,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_HSP90AA1.1.1|m.14867"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_ACTN.1.2|m.15252,CHOYP_LOC100649130.1.1|m.58207,CHOYP_LOC100877689.2.2|m.26187,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_MLE.1.9|m.15462"
GO:0032982	myosin filament	cellular_component	9.71E-07	4.29E-08	"CHOYP_HMCN1.23.44|m.42684,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_MLE.1.9|m.15462"
GO:0015629	actin cytoskeleton	cellular_component	9.94E-06	3.48E-07	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_LOC100114310.2.2|m.64227,CHOYP_CHER.1.1|m.63350,CHOYP_FLNC.2.5|m.37450,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100114310.2.2|m.64227,CHOYP_CHER.1.1|m.63350,CHOYP_FLNA.2.6|m.11845,CHOYP_FLNC.2.5|m.37450,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_LOC100377364.2.2|m.52803,CHOYP_MLE.1.9|m.15462"
GO:0005856	cytoskeleton	cellular_component	2.04E-05	8.15E-05	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_DYHC1.1.1|m.2432,CHOYP_CH60.1.1|m.26967,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_DYHC.1.3|m.10664,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_ACT3.3.3|m.66907,CHOYP_LOC100114310.2.2|m.64227,CHOYP_CHER.1.1|m.63350,CHOYP_LOC100533447.2.3|m.44496,CHOYP_ANK3.3.9|m.6798,CHOYP_GELS2.2.2|m.30443,CHOYP_ACT.6.27|m.15622,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_CH60.1.1|m.26967,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_TBA2.1.1|m.955,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_LOC752782.1.1|m.53937,CHOYP_PAN2.1.1|m.44691,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_SPTCA.2.2|m.25615,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_CHER.1.1|m.63350,CHOYP_GELS2.2.2|m.30443,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100648516.1.1|m.64902,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_LOC100377364.2.2|m.52803,CHOYP_MLE.1.9|m.15462"
GO:0043228	non-membrane-bounded organelle	cellular_component	8.41E-04	1.14E-03	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_CH60.1.1|m.26967,CHOYP_DYHC.1.3|m.10664,CHOYP_SPTCA.1.2|m.1905,CHOYP_ABCF2.1.2|m.28362,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_LOC100877689.2.2|m.26187,CHOYP_ANK3.3.9|m.6798,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_SPTCA.2.2|m.25615,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_GELS2.2.2|m.30443,CHOYP_BRAFLDRAFT_279789.3.3|m.48128,CHOYP_ACT.6.27|m.15622,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_RSSA.1.10|m.2054,CHOYP_CATB.1.2|m.5440,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_LOC100877689.2.2|m.26187,CHOYP_LOC752782.1.1|m.53937,CHOYP_2AAA.1.1|m.13306,CHOYP_PAN2.1.1|m.44691,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_SPTCA.2.2|m.25615,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_GELS2.2.2|m.30443,CHOYP_BRAFLDRAFT_279789.3.3|m.48128,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100648516.1.1|m.64902,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_GRP75.1.1|m.11678,CHOYP_LOC100377364.2.2|m.52803,CHOYP_MLE.1.9|m.15462"
GO:0043232	intracellular non-membrane-bounded organelle	cellular_component	8.41E-04	1.14E-03	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_CH60.1.1|m.26967,CHOYP_DYHC.1.3|m.10664,CHOYP_SPTCA.1.2|m.1905,CHOYP_ABCF2.1.2|m.28362,CHOYP_MYS.4.7|m.18188,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_LOC100877689.2.2|m.26187,CHOYP_ANK3.3.9|m.6798,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_SPTCA.2.2|m.25615,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_GELS2.2.2|m.30443,CHOYP_BRAFLDRAFT_279789.3.3|m.48128,CHOYP_ACT.6.27|m.15622,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_TERA.1.1|m.29200,CHOYP_CH60.1.1|m.26967,CHOYP_UBA1.2.2|m.30036,CHOYP_SPTCA.1.2|m.1905,CHOYP_MYS.4.7|m.18188,CHOYP_RSSA.1.10|m.2054,CHOYP_CATB.1.2|m.5440,CHOYP_ACT3.3.3|m.66907,CHOYP_HSP90AA1.1.1|m.14867,CHOYP_TBA2.1.1|m.955,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_LOC100877689.2.2|m.26187,CHOYP_LOC752782.1.1|m.53937,CHOYP_2AAA.1.1|m.13306,CHOYP_PAN2.1.1|m.44691,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_DYHC1.1.1|m.2432,CHOYP_NEMVEDRAFT_V1G242065.1.1|m.21817,CHOYP_SPTCA.2.2|m.25615,CHOYP_PHUM_PHUM226120.7.7|m.54053,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_ACTN.1.2|m.15252,CHOYP_CHER.1.1|m.63350,CHOYP_GELS2.2.2|m.30443,CHOYP_BRAFLDRAFT_279789.3.3|m.48128,CHOYP_FLNA.2.6|m.11845,CHOYP_LOC100648516.1.1|m.64902,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_GRP75.1.1|m.11678,CHOYP_LOC100377364.2.2|m.52803,CHOYP_MLE.1.9|m.15462"
GO:0044430	cytoskeletal part	cellular_component	1.02E-03	6.23E-03	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_DYHC1.1.1|m.2432,CHOYP_CH60.1.1|m.26967,CHOYP_DYHC.1.3|m.10664,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_DYHC1.1.1|m.2432,CHOYP_CH60.1.1|m.26967,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_TBB4B.1.7|m.12262,CHOYP_MYS.7.7|m.44342,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_contig_043818|m.50622,CHOYP_RADI.1.2|m.2373,CHOYP_TBA2.1.1|m.955,CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100533447.2.3|m.44496,CHOYP_TLN1.4.4|m.33719,CHOYP_FLNC.2.5|m.37450,CHOYP_MYSP.8.9|m.44813,CHOYP_PHUM_PHUM289860.1.1|m.44779,CHOYP_LOC100377364.2.2|m.52803,CHOYP_MLE.1.9|m.15462"
GO:0016459	myosin complex	cellular_component	2.00E-03	1.42E-03	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341"	"CHOYP_HMCN1.23.44|m.42684,CHOYP_LOC100649130.1.1|m.58207,CHOYP_MYS.7.7|m.44342,CHOYP_MYSP.8.9|m.44813,CHOYP_MYS.4.7|m.18188,CHOYP_MYS.7.7|m.44341,CHOYP_MLE.1.9|m.15462"
GO:0044448	cell cortex part	cellular_component	6.92E-03	4.02E-05	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_FLNC.2.5|m.37450"	"CHOYP_LOC100114310.2.2|m.64227,CHOYP_LOC100649130.1.1|m.58207,CHOYP_CHER.1.1|m.63350,CHOYP_FLNA.2.6|m.11845,CHOYP_SPTCA.2.2|m.25615,CHOYP_SPTCA.1.2|m.1905,CHOYP_FLNC.2.5|m.37450,CHOYP_RADI.1.2|m.2373,CHOYP_LOC100377364.2.2|m.52803"
