Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown																												
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	GO:0004674			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0005089			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0005524			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0005576			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0005829			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0005863			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0005886			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0007275			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0014704			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
CHOYP_HMCN1.23.44|m.42684	6167	129	6	172	198	226	213	0.765	0.765	10.9093	10.9093	0	0	0.541437	CHOYP_HMCN1.23.44|m.42684	A2AAJ9	OBSCN_MOUSE	21.8	1697	1028	71	4110	5740	3547	5010	1.00E-49	202	1	A2AAJ9	OBSCN_MOUSE	reviewed	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	Obscn Gm878	Mus musculus (Mouse)	8891	cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]	 GO:0016604			cd00063;	PF00041;PF07679;PF00612;PF00069;PF00621;	cytosol [GO:0005829]; extracellular region [GO:0005576]; intercalated disc [GO:0014704]; M band [GO:0031430]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; striated muscle myosin thick filament [GO:0005863]; Z disc [GO:0030018]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; titin binding [GO:0031432]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; protein autophosphorylation [GO:0046777]; regulation of Rho protein signal transduction [GO:0035023]
