Protein	Len	3	4	8	11	12	16	LogFoldChange	absolute value logfoldchange	Zstatistic	absolute value z statistic	fdr	FDRup	FDRdown																												
CHOYP_LOC100497129.6.8|m.41866	3091	74	190	51	33	43	7	-1.292	1.292	-10.9556	10.9556	0	0.541442	0	CHOYP_LOC100497129.6.8|m.41866	Q9HC84	MUC5B_HUMAN	28.55	1135	667	48	18	1087	205	1260	2.00E-126	454	1	Q9HC84	MUC5B_HUMAN	reviewed	"Mucin-5B (MUC-5B) (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)"	MUC5B MUC5	Homo sapiens (Human)	5762	defense response to bacterium [GO:0042742]; O-glycan processing [GO:0016266]; regulation of macrophage activation [GO:0043030]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]	GO:0002223; GO:0005615; GO:0005796; GO:0005886; GO:0016266; GO:0042742; GO:0043030; GO:0043231; GO:0070062; GO:0070701				PF08742;PF13330;PF01826;PF00093;PF00094;	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; intracellular membrane-bounded organelle [GO:0043231]; mucus layer [GO:0070701]; plasma membrane [GO:0005886]; defense response to bacterium [GO:0042742]; O-glycan processing [GO:0016266]; regulation of macrophage activation [GO:0043030]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]
CHOYP_BRAFLDRAFT_127065.6.7|m.30727	310	217	315	277	160	181	66	-0.652	0.652	-10.7283	10.7283	0	0.541495	0	CHOYP_BRAFLDRAFT_127065.6.7|m.30727	Q62009	POSTN_MOUSE	34.22	263	163	7	46	302	110	368	3.00E-36	142	1	Q62009	POSTN_MOUSE	reviewed	Periostin (PN) (Osteoblast-specific factor 2) (OSF-2)	Postn Osf2	Mus musculus (Mouse)	838	bone regeneration [GO:1990523]; cell adhesion [GO:0007155]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vitamin K [GO:0071307]; extracellular matrix organization [GO:0030198]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; neuron projection extension [GO:1990138]; positive regulation of chemokine (C-C motif) ligand 2 secretion [GO:1904209]; positive regulation of smooth muscle cell migration [GO:0014911]; regulation of Notch signaling pathway [GO:0008593]; regulation of systemic arterial blood pressure [GO:0003073]; response to estradiol [GO:0032355]; response to hypoxia [GO:0001666]; response to mechanical stimulus [GO:0009612]; response to muscle activity [GO:0014850]; tissue development [GO:0009888]	GO:0001666; GO:0001953; GO:0003073; GO:0005578; GO:0005615; GO:0005802; GO:0007155; GO:0008201; GO:0008593; GO:0009612; GO:0009888; GO:0014850; GO:0014911; GO:0030198; GO:0031012; GO:0031594; GO:0032355; GO:0044344; GO:0046872; GO:0071307; GO:0071356; GO:0071560; GO:1900025; GO:1904209; GO:1990138; GO:1990523				PF02469;	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; neuromuscular junction [GO:0031594]; proteinaceous extracellular matrix [GO:0005578]; trans-Golgi network [GO:0005802]; heparin binding [GO:0008201]; metal ion binding [GO:0046872]; bone regeneration [GO:1990523]; cell adhesion [GO:0007155]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vitamin K [GO:0071307]; extracellular matrix organization [GO:0030198]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; neuron projection extension [GO:1990138]; positive regulation of chemokine (C-C motif) ligand 2 secretion [GO:1904209]; positive regulation of smooth muscle cell migration [GO:0014911]; regulation of Notch signaling pathway [GO:0008593]; regulation of systemic arterial blood pressure [GO:0003073]; response to estradiol [GO:0032355]; response to hypoxia [GO:0001666]; response to mechanical stimulus [GO:0009612]; response to muscle activity [GO:0014850]; tissue development [GO:0009888]
CHOYP_LOC100497129.3.8|m.32060	3274	90	214	70	47	56	21	-1.076	1.076	-10.3926	10.3926	0	0.541563	0	CHOYP_LOC100497129.3.8|m.32060	Q2PC93	SSPO_CHICK	32.81	1719	955	60	12	1666	7	1589	0	824	1	Q2PC93	SSPO_CHICK	reviewed	SCO-spondin	SSPO	Gallus gallus (Chicken)	5255	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0005615; GO:0007155; GO:0007399; GO:0030154				PF00754;PF00057;PF01826;PF00090;PF00093;PF00094;	extracellular space [GO:0005615]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]
CHOYP_DFA_06569.1.1|m.9782	3326	70	126	37	5	11	0	-2.598	2.598	-9.9892	9.9892	0	0.541658	0																												
CHOYP_LOC100497129.7.8|m.41875	3513	90	224	71	48	56	20	-1.097	1.097	-9.9821	9.9821	0	0.54166	0	CHOYP_LOC100497129.7.8|m.41875	Q2PC93	SSPO_CHICK	32.81	1719	955	60	12	1666	7	1589	0	822	1	Q2PC93	SSPO_CHICK	reviewed	SCO-spondin	SSPO	Gallus gallus (Chicken)	5255	cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]	GO:0005615; GO:0007155; GO:0007399; GO:0030154				PF00754;PF00057;PF01826;PF00090;PF00093;PF00094;	extracellular space [GO:0005615]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399]
CHOYP_BRAFLDRAFT_281651.5.8|m.25278	600	48	71	30	23	20	2	-1.164	1.164	-6.7369	6.7369	0	0.541772	0	CHOYP_BRAFLDRAFT_281651.5.8|m.25278	P29030	CHIT_BRUMA	37.31	520	283	11	7	506	6	502	7.00E-96	309	1	P29030	CHIT_BRUMA	reviewed	Endochitinase (EC 3.2.1.14) (MF1 antigen)		Brugia malayi (Filarial nematode worm)	504	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0004568; GO:0005576; GO:0006032; GO:0008061				PF01607;PF00704;	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]
CHOYP_VOLCADRAFT_93060.2.2|m.26741	214	156	204	108	103	100	64	-0.524	0.524	-6.6123	6.6123	0	0.541809	0	CHOYP_VOLCADRAFT_93060.2.2|m.26741	P81262	IPSG_UNCUN	36.27	102	46	4	55	138	22	122	7.00E-10	58.2	1	P81262	IPSG_PANUN	reviewed	"Double-headed protease inhibitor, submandibular gland"		Panthera uncia (Snow leopard) (Uncia uncia)	122		GO:0004867; GO:0005576				PF00050;	extracellular region [GO:0005576]; serine-type endopeptidase inhibitor activity [GO:0004867]
CHOYP_SSPO.11.14|m.53093	2289	35	65	35	19	17	6	-1.139	1.139	-6.3198	6.3198	0	0.541903	0	CHOYP_SSPO.11.14|m.53093	Q06852	SLAP1_CLOTH	58.56	555	158	47	322	816	1474	2016	9.00E-57	223	1	Q06852	SLAP1_CLOTH	reviewed	Cell surface glycoprotein 1 (Outer layer protein B) (S-layer protein 1)	olpB Cthe_3078	Clostridium thermocellum (strain ATCC 27405 / DSM 1237 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Ruminiclostridium thermocellum)	2313	polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0005576; GO:0005618; GO:0030115; GO:0030246				PF00963;PF00395;	cell wall [GO:0005618]; extracellular region [GO:0005576]; S-layer [GO:0030115]; carbohydrate binding [GO:0030246]; polysaccharide catabolic process [GO:0000272]
CHOYP_LOC100175722.1.3|m.11427	376	26	43	16	8	7	0	-1.667	1.667	-6.2473	6.2473	0	0.541927	0																												
CHOYP_TEKT3.1.1|m.37281	471	54	105	41	37	33	28	-0.682	0.682	-5.8803	5.8803	0	0.542033	0	CHOYP_TEKT3.1.1|m.37281	A6H782	TEKT3_BOVIN	51.14	395	193	0	60	454	87	481	4.00E-138	413	1	A6H782	TEKT3_BOVIN	reviewed	Tektin-3	TEKT3	Bos taurus (Bovine)	490	cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; regulation of fertilization [GO:0080154]	GO:0002080; GO:0005634; GO:0005874; GO:0030317; GO:0036126; GO:0060271; GO:0060294; GO:0080154					acrosomal membrane [GO:0002080]; microtubule [GO:0005874]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; flagellated sperm motility [GO:0030317]; regulation of fertilization [GO:0080154]
